version,source_file_count,source_files
V0_9_4,6,Spotlight_V0_9_2_review_and_next_test.txt;V0_9_2_CHANGE_VALIDATION_NOTE.txt;V0_9_3_CHANGE_VALIDATION_NOTE.txt;V0_9_4_CHANGE_VALIDATION_NOTE.txt;V0_9_5_CHANGE_VALIDATION_NOTE.txt;V0_9_6_CHANGE_VALIDATION_NOTE.txt
V0_9_5,2,V0_9_5_CHANGE_VALIDATION_NOTE.txt;V0_9_6_CHANGE_VALIDATION_NOTE.txt
V0_9_6,2,IOS_CORESPOTLIGHT_ROADMAP.md;V0_9_6_CHANGE_VALIDATION_NOTE.txt
V0_9_10,1,IOS_CORESPOTLIGHT_ROADMAP.md
V0_9_11,3,IOS_CORESPOTLIGHT_ROADMAP.md;V0_9_11_1_CHANGE_VALIDATION_NOTE.txt;V0_9_14_CHANGE_VALIDATION_NOTE.txt
V0_9_11_1,2,IOS_CORESPOTLIGHT_ROADMAP.md;V0_9_11_1_CHANGE_VALIDATION_NOTE.txt
V0_9_12,1,V0_9_13_CHANGE_VALIDATION_NOTE.txt
V0_9_13,1,V0_9_14_CHANGE_VALIDATION_NOTE.txt
V0_9_15,4,DETAILED_ROADMAP_AND_TESTING_TIMELINE.md;IOS_CORESPOTLIGHT_ROADMAP.md;V0_9_13_CHANGE_VALIDATION_NOTE.txt;V0_9_14_CHANGE_VALIDATION_NOTE.txt
V0_9_16,2,V0_9_17_CHANGE_VALIDATION_NOTE.txt;V0_9_18_CHANGE_VALIDATION_NOTE.txt
V0_9_17,4,IOS_CORESPOTLIGHT_ROADMAP.md;V0_9_15_CHANGE_VALIDATION_NOTE.txt;V0_9_17_CHANGE_VALIDATION_NOTE.txt;V0_9_18_CHANGE_VALIDATION_NOTE.txt
V0_9_18,1,V0_9_19_CHANGE_VALIDATION_NOTE.txt
V0_9_19,1,V0_9_20_CHANGE_VALIDATION_NOTE.txt
V0_9_20,5,DETAILED_ROADMAP_AND_TESTING_TIMELINE.md;V0_9_18_CHANGE_VALIDATION_NOTE.txt;V0_9_19_CHANGE_VALIDATION_NOTE.txt;V0_9_20_CHANGE_VALIDATION_NOTE.txt;V0_9_21_CHANGE_VALIDATION_NOTE.txt
V0_9_21,2,V0_9_21_CHANGE_VALIDATION_NOTE.txt;V0_9_22_CHANGE_VALIDATION_NOTE.txt
V0_9_22,1,V0_9_22_CHANGE_VALIDATION_NOTE.txt
V0_9_23,1,V0_9_23_1_CHANGE_VALIDATION_NOTE.txt
V0_9_23_1,1,V0_9_24_CHANGE_VALIDATION_NOTE.txt
V0_9_24,3,V0_9_23_1_CHANGE_VALIDATION_NOTE.txt;V0_9_24_CHANGE_VALIDATION_NOTE.txt;V0_9_25_CHANGE_VALIDATION_NOTE.txt
V0_9_25,1,V0_9_25_CHANGE_VALIDATION_NOTE.txt
V0_9_26,1,V0_9_26_1_CHANGE_VALIDATION_NOTE.txt
V0_9_26_1,1,V0_9_26_2_CHANGE_VALIDATION_NOTE.txt
V0_9_26_2,2,V0_9_26_1_CHANGE_VALIDATION_NOTE.txt;V0_9_26_2_CHANGE_VALIDATION_NOTE.txt
V0_9_27,1,V0_9_28_CHANGE_VALIDATION_NOTE.txt
V0_9_28,2,V0_9_28_CHANGE_VALIDATION_NOTE.txt;V0_9_29_CHANGE_VALIDATION_NOTE.txt
V0_9_29,3,RELEASE_NOTES.md;V0_9_29_CHANGE_VALIDATION_NOTE.txt;V0_9_30_CHANGE_VALIDATION_NOTE.txt
V0_9_30,1,RELEASE_NOTES.md
V0_9_31,2,V0_9_32_CHANGE_VALIDATION_NOTE.txt;VERSION_HISTORY_4.md
V0_9_32,3,DETAILED_ROADMAP_AND_TESTING_TIMELINE.md;V0_9_30_CHANGE_VALIDATION_NOTE.txt;V0_9_32_CHANGE_VALIDATION_NOTE.txt
V0_9_33,3,RELEASE_NOTES.md;V0_9_34_REVIEW_NOTES.md;VERSION_HISTORY_4.md
V0_9_34,3,CONSOLIDATED_USER_MANUAL.md;V0_9_34_REVIEW_NOTES.md;V0_9_36_REVIEW_NOTES.md
V0_9_35,2,CONSOLIDATED_USER_MANUAL.md;V0_9_36_REVIEW_NOTES.md
V0_9_36,1,V0_9_37_REVIEW_NOTES.md
V0_9_37,5,CONSOLIDATED_USER_MANUAL.md;V0_9_36_REVIEW_NOTES.md;V0_9_37_REVIEW_NOTES.md;V0_9_38_REVIEW_NOTES.md;V0_9_39_REVIEW_NOTES.md
V0_9_38,2,DETAILED_ROADMAP_AND_TESTING_TIMELINE.md;V0_9_39_REVIEW_NOTES.md
V0_9_39,3,V0_9_38_REVIEW_NOTES.md;V0_9_39_REVIEW_NOTES.md;V0_9_40_REVIEW_NOTES.md
V0_9_40,1,V0_9_41_REVIEW_NOTES.md
V0_9_41,2,CONSOLIDATED_USER_MANUAL.md;V0_9_42_REVIEW_NOTES.md
V0_9_42,5,CONSOLIDATED_USER_MANUAL.md;DETAILED_ROADMAP_AND_TESTING_TIMELINE.md;V0_9_40_REVIEW_NOTES.md;V0_9_41_REVIEW_NOTES.md;V0_9_42_REVIEW_NOTES.md
V0_9_48,1,PROJECT_ROADMAP_AND_CONTINUATION.md
V0_9_51,1,V0_9_52_REVIEW_NOTES.md
V0_9_54,2,V0_9_52_REVIEW_NOTES.md;VERSION_HISTORY_2.md
V0_9_55,4,CONSOLIDATED_USER_MANUAL.md;DETAILED_ROADMAP_AND_TESTING_TIMELINE.md;PROJECT_ROADMAP_AND_CONTINUATION.md;VERSION_HISTORY_2.md
V0_9_56,3,DETAILED_ROADMAP_AND_TESTING_TIMELINE.md;PROJECT_ROADMAP_AND_CONTINUATION.md;VERSION_HISTORY_2.md
V0_9_57,3,CONSOLIDATED_USER_MANUAL.md;PROJECT_ROADMAP_AND_CONTINUATION.md;VERSION_HISTORY_2.md
V0_9_60,5,CONSOLIDATED_USER_MANUAL.md;DETAILED_ROADMAP_AND_TESTING_TIMELINE.md;IOS_CORESPOTLIGHT_ROADMAP.md;PROJECT_ROADMAP_AND_CONTINUATION.md;VERSION_HISTORY_2.md
V1_0_0,2,PROJECT_ROADMAP_AND_CONTINUATION.md;VERSION_HISTORY_2.md
V1_0_1,1,VERSION_HISTORY_2.md
V1_0_3,1,VERSION_HISTORY_2.md
V1_0_4,1,VERSION_HISTORY_2.md
V1_0_5,1,VERSION_HISTORY_2.md
V1_0_6,1,VERSION_HISTORY_2.md
V1_0_7,1,VERSION_HISTORY_2.md
V1_0_8,1,VERSION_HISTORY_2.md
V1_0_12,1,VERSION_HISTORY_2.md
V1_0_14,6,CONSOLIDATED_VERSION_HISTORY.md;VERSION_HISTORY_1.md;VERSION_HISTORY_2.md;Current_V1_1_7_source/VERSION_HISTORY.md;Current_V1_1_7_source/CONSOLIDATED_VERSION_HISTORY.md;Current_V1_1_7_source/docs/CONSOLIDATED_VERSION_HISTORY.md
V1_0_15,5,CONSOLIDATED_VERSION_HISTORY.md;VERSION_HISTORY_1.md;Current_V1_1_7_source/VERSION_HISTORY.md;Current_V1_1_7_source/CONSOLIDATED_VERSION_HISTORY.md;Current_V1_1_7_source/docs/CONSOLIDATED_VERSION_HISTORY.md
